總計,汽車,大客車,大貨車,小客車,小貨車,特種車,機車
105年 5月底,"404,335","149,515","1,065","2,269","133,468","11,463","1,250","254,820"
105年 6月底,"405,090","149,864","1,067","2,258","133,821","11,467","1,251","255,226"
105年 7月底,"405,384","150,055","1,065","2,264","133,984","11,486","1,256","255,329"
105年 8月底,"405,716","150,109","1,071","2,264","134,022","11,490","1,262","255,607"
105年 9月底,"406,902","150,444","1,075","2,265","134,346","11,494","1,264","256,458"
105年 10月底,"407,518","150,734","1,078","2,263","134,617","11,493","1,283","256,784"
105年 11月底,"407,950","150,943","1,080","2,262","134,830","11,475","1,296","257,007"
105年 12月底,"408,270","151,288","1,084","2,262","135,196","11,447","1,299","256,982"
106年底,"414,280","154,486","1,103","2,292","138,139","11,617","1,335","259,794"
106年 1月底,"408,994","151,734","1,094","2,267","135,627","11,448","1,298","257,260"
106年 2月底,"409,142","151,747","1,094","2,259","135,643","11,454","1,297","257,395"
106年 3月底,"409,702","151,949","1,097","2,282","135,841","11,437","1,292","257,753"
106年 4月底,"410,010","152,125","1,103","2,288","135,997","11,443","1,294","257,885"
106年 5月底,"410,791","152,530","1,106","2,295","136,379","11,453","1,297","258,261"
106年 6月底,"410,937","152,936","1,111","2,311","136,732","11,467","1,315","258,001"
106年 7月底,"411,402","153,291","1,120","2,309","137,030","11,508","1,324","258,111"
106年 8月底,"412,262","153,546","1,111","2,299","137,261","11,528","1,347","258,716"
106年 9月底,"413,034","153,691","1,103","2,303","137,406","11,535","1,344","259,343"
106年 10月底,"413,759","153,994","1,102","2,307","137,655","11,575","1,355","259,765"
106年 11月底,"413,990","154,268","1,097","2,297","137,925","11,594","1,355","259,722"
106年 12月底,"414,280","154,486","1,103","2,292","138,139","11,617","1,335","259,794"
107年底,"420,078","156,630","1,087","2,088","140,594","11,533","1,328","263,448"
107年 1月底,"414,808","154,761","1,081","2,290","138,459","11,608","1,323","260,047"
107年 2月底,"414,895","154,778","1,072","2,297","138,490","11,599","1,320","260,117"
107年 3月底,"415,324","154,906","1,080","2,310","138,594","11,596","1,326","260,418"
107年 4月底,"415,815","155,105","1,084","2,294","138,841","11,565","1,321","260,710"
107年 5月底,"416,345","155,407","1,077","2,305","139,117","11,584","1,324","260,938"
107年 6月底,"417,167","155,740","1,070","2,300","139,461","11,598","1,311","261,427"
107年 7月底,"417,688","155,928","1,080","2,298","139,654","11,585","1,311","261,760"
107年 8月底,"417,946","155,919","1,087","2,303","139,643","11,562","1,324","262,027"
107年 9月底,"418,848","156,099","1,085","2,320","139,805","11,563","1,326","262,749"
107年 10月底,"419,111","156,224","1,092","2,161","140,046","11,592","1,333","262,887"
107年 11月底,"419,483","156,435","1,086","2,084","140,360","11,564","1,341","263,048"
107年 12月底,"420,078","156,630","1,087","2,088","140,594","11,533","1,328","263,448"
108年底,"426,625","158,777","1,066","2,123","142,537","11,646","1,405","267,848"
108年 1月底,"420,240","156,750","1,090","2,095","140,714","11,516","1,335","263,490"
108年 2月底,"420,427","156,822","1,093","2,091","140,789","11,513","1,336","263,605"
108年 3月底,"421,159","156,953","1,092","2,091","140,904","11,532","1,334","264,206"
108年 4月底,"421,577","157,124","1,097","2,087","141,066","11,528","1,346","264,453"
108年 5月底,"422,003","157,231","1,094","2,090","141,165","11,529","1,353","264,772"
108年 6月底,"422,898","157,611","1,096","2,092","141,485","11,585","1,353","265,287"
108年 7月底,"423,433","157,868","1,097","2,102","141,738","11,579","1,352","265,565"
108年 8月底,"423,974","157,897","1,078","2,115","141,758","11,574","1,372","266,077"
108年 9月底,"424,894","158,196","1,067","2,103","142,038","11,610","1,378","266,698"
108年 10月底,"425,332","158,361","1,062","2,122","142,172","11,614","1,391","266,971"
108年 11月底,"425,997","158,669","1,060","2,123","142,459","11,631","1,396","267,328"
108年 12月底,"426,625","158,777","1,066","2,123","142,537","11,646","1,405","267,848"
109年底,"433,284","160,749","1,034","2,183","144,436","11,708","1,388","272,535"
109年 1月底,"426,698","158,853","1,065","2,126","142,654","11,638","1,370","267,845"
109年 2月底,"427,283","158,951","1,071","2,149","142,717","11,649","1,365","268,332"
